case_number,court_id,alert_type,message,severity
CASE/4667/2015,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 7.6 years [Senior_Citizen].,HIGH
CASE/4667/2015,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/9592/2022,GUJ-RAJ-03,CRITICAL_PRIORITY,🔴 Critical priority case [Motor_Accident] — Immediate attention required. Score: 76.0,CRITICAL
CASE/9592/2022,GUJ-RAJ-03,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 192 days.,HIGH
CASE/9592/2022,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 7.8 years [Motor_Accident].,HIGH
CASE/9592/2022,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/4536/2022,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 9.5 years [Matrimonial].,HIGH
CASE/4536/2022,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/6595/2023,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 8.5 years [Motor_Accident].,HIGH
CASE/6595/2023,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/7234/2023,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 6.6 years [NDPS].,HIGH
CASE/7234/2023,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/3105/2017,GUJ-RAJ-03,LONG_PENDING,📛 Case pending for 9.6 years [Property_Dispute].,HIGH
CASE/3105/2017,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/9972/2020,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/2183/2020,GUJ-RAJ-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/6272/2019,GUJ-RAJ-04,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 76.1,CRITICAL
CASE/6272/2019,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 5.7 years [Senior_Citizen].,HIGH
CASE/6272/2019,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4750/2019,GUJ-RAJ-04,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 197 days.,HIGH
CASE/4750/2019,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 7.1 years [General_Civil].,HIGH
CASE/4750/2019,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/7888/2017,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 6.8 years [SC_ST].,HIGH
CASE/7888/2017,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/1297/2022,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 9.9 years [Property_Dispute].,HIGH
CASE/1297/2022,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/5185/2019,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 9.7 years [Motor_Accident].,HIGH
CASE/5185/2019,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/2390/2016,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 9.3 years [Motor_Accident].,HIGH
CASE/2390/2016,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/7545/2016,GUJ-RAJ-04,LONG_PENDING,📛 Case pending for 7.1 years [Motor_Accident].,HIGH
CASE/7545/2016,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/7327/2017,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/9718/2022,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0159/2017,GUJ-RAJ-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/2762/2023,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 9.9 years [Property_Dispute].,HIGH
CASE/2762/2023,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/2321/2017,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 7.5 years [Commercial].,HIGH
CASE/2321/2017,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/0198/2023,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/7470/2017,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 8.1 years [General_Civil].,HIGH
CASE/7470/2017,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/5734/2015,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 6.9 years [Matrimonial].,HIGH
CASE/5734/2015,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/7209/2015,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 7.9 years [General_Civil].,HIGH
CASE/7209/2015,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/4046/2020,GUJ-RAJ-05,LONG_PENDING,📛 Case pending for 7.3 years [General_Civil].,HIGH
CASE/4046/2020,GUJ-RAJ-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/6602/2021,GUJ-RAJ-06,CRITICAL_PRIORITY,🔴 Critical priority case [General_Criminal] — Immediate attention required. Score: 82.8,CRITICAL
CASE/6602/2021,GUJ-RAJ-06,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 1244 days. Bail eligibility to be reviewed.,CRITICAL
CASE/6602/2021,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/5888/2020,GUJ-RAJ-06,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 79.2,CRITICAL
CASE/5888/2020,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 8.5 years [SC_ST].,HIGH
CASE/5888/2020,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/6614/2024,GUJ-RAJ-06,CRITICAL_PRIORITY,🔴 Critical priority case [General_Criminal] — Immediate attention required. Score: 79.2,CRITICAL
CASE/6614/2024,GUJ-RAJ-06,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 2745 days. Bail eligibility to be reviewed.,CRITICAL
CASE/6614/2024,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 7.5 years [General_Criminal].,HIGH
CASE/6614/2024,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0549/2018,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 9.3 years [NDPS].,HIGH
CASE/0549/2018,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/3813/2017,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 9.1 years [General_Criminal].,HIGH
CASE/3813/2017,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/4302/2024,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 9.0 years [NDPS].,HIGH
CASE/4302/2024,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/3622/2019,GUJ-RAJ-06,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 922 days. Bail eligibility to be reviewed.,CRITICAL
CASE/3622/2019,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0392/2022,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 6.0 years [POCSO].,HIGH
CASE/0392/2022,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/7992/2017,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 6.9 years [Senior_Citizen].,HIGH
CASE/7992/2017,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/2664/2022,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 7.5 years [Commercial].,HIGH
CASE/2664/2022,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/6519/2017,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 9.2 years [Matrimonial].,HIGH
CASE/6519/2017,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/0317/2019,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6097/2022,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 6.1 years [General_Criminal].,HIGH
CASE/6097/2022,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/6312/2016,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 9.8 years [Property_Dispute].,HIGH
CASE/6312/2016,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/0740/2020,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 5.0 years [NDPS].,HIGH
CASE/0740/2020,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0167/2017,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/0567/2024,GUJ-RAJ-06,LONG_PENDING,📛 Case pending for 5.7 years [Matrimonial].,HIGH
CASE/0567/2024,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/4051/2019,GUJ-RAJ-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/9636/2019,GUJ-RAJ-06,STAGE_STAGNATION,🟠 Stagnant in 'Evidence' stage for 475 days.,HIGH
CASE/1465/2023,GUJ-RAJ-07,CRITICAL_PRIORITY,🔴 Critical priority case [NDPS] — Immediate attention required. Score: 80.7,CRITICAL
CASE/1465/2023,GUJ-RAJ-07,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 3453 days. Bail eligibility to be reviewed.,CRITICAL
CASE/1465/2023,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 9.5 years [NDPS].,HIGH
CASE/1465/2023,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0056/2016,GUJ-RAJ-07,CRITICAL_PRIORITY,🔴 Critical priority case [Commercial] — Immediate attention required. Score: 78.8,CRITICAL
CASE/0056/2016,GUJ-RAJ-07,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 194 days.,HIGH
CASE/0056/2016,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 6.9 years [Commercial].,HIGH
CASE/0056/2016,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/6227/2017,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 6.7 years [POCSO].,HIGH
CASE/6227/2017,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/0055/2022,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/4075/2015,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 9.6 years [General_Civil].,HIGH
CASE/4075/2015,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/1711/2016,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 5.9 years [NDPS].,HIGH
CASE/1711/2016,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/7819/2019,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/0922/2018,GUJ-RAJ-07,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 199 days.,HIGH
CASE/0310/2021,GUJ-RAJ-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/4377/2023,GUJ-RAJ-07,LONG_PENDING,📛 Case pending for 7.0 years [Property_Dispute].,HIGH
CASE/7931/2016,GUJ-RAJ-07,STAGE_STAGNATION,🟠 Stagnant in 'Notice' stage for 314 days.,HIGH
CASE/8418/2015,GUJ-RAJ-08,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 79.2,CRITICAL
CASE/8418/2015,GUJ-RAJ-08,LONG_PENDING,📛 Case pending for 8.4 years [SC_ST].,HIGH
CASE/8418/2015,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/6679/2015,GUJ-RAJ-08,LONG_PENDING,📛 Case pending for 7.9 years [Commercial].,HIGH
CASE/6679/2015,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/3265/2017,GUJ-RAJ-08,LONG_PENDING,📛 Case pending for 6.7 years [Commercial].,HIGH
CASE/3265/2017,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/1679/2023,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/2089/2019,GUJ-RAJ-08,LONG_PENDING,📛 Case pending for 8.1 years [Property_Dispute].,HIGH
CASE/2089/2019,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/9077/2020,GUJ-RAJ-08,LONG_PENDING,📛 Case pending for 6.1 years [General_Civil].,HIGH
CASE/9077/2020,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/1617/2023,GUJ-RAJ-08,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/1305/2015,GUJ-RAJ-09,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 77.0,CRITICAL
CASE/1305/2015,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 5.5 years [SC_ST].,HIGH
CASE/1305/2015,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/1678/2016,GUJ-RAJ-09,CRITICAL_PRIORITY,🔴 Critical priority case [Commercial] — Immediate attention required. Score: 76.6,CRITICAL
CASE/1678/2016,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 8.7 years [Commercial].,HIGH
CASE/1678/2016,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/0463/2024,GUJ-RAJ-09,CRITICAL_PRIORITY,🔴 Critical priority case [General_Civil] — Immediate attention required. Score: 76.3,CRITICAL
CASE/0463/2024,GUJ-RAJ-09,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 255 days.,HIGH
CASE/0463/2024,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 7.9 years [General_Civil].,HIGH
CASE/0463/2024,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/8251/2020,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 8.8 years [POCSO].,HIGH
CASE/8251/2020,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/9168/2019,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 7.8 years [General_Civil].,HIGH
CASE/9168/2019,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/5092/2020,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 5.3 years [Senior_Citizen].,HIGH
CASE/5092/2020,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/0232/2019,GUJ-RAJ-09,LONG_PENDING,📛 Case pending for 6.5 years [Matrimonial].,HIGH
CASE/0232/2019,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/1805/2024,GUJ-RAJ-09,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/3767/2022,GUJ-RAJ-09,STAGE_STAGNATION,🟠 Stagnant in 'Judgment' stage for 232 days.,HIGH
CASE/0125/2018,GUJ-RAJ-10,CRITICAL_PRIORITY,🔴 Critical priority case [NDPS] — Immediate attention required. Score: 78.5,CRITICAL
CASE/0125/2018,GUJ-RAJ-10,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 2397 days. Bail eligibility to be reviewed.,CRITICAL
CASE/0125/2018,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 6.6 years [NDPS].,HIGH
CASE/0125/2018,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0367/2021,GUJ-RAJ-10,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 75.5,CRITICAL
CASE/0367/2021,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/8709/2019,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 6.2 years [POCSO].,HIGH
CASE/8709/2019,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/9948/2015,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 9.5 years [Commercial].,HIGH
CASE/9948/2015,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/4545/2015,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 5.1 years [NDPS].,HIGH
CASE/4545/2015,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/1842/2019,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 5.3 years [SC_ST].,HIGH
CASE/1842/2019,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/1129/2018,GUJ-RAJ-10,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 1031 days. Bail eligibility to be reviewed.,CRITICAL
CASE/1129/2018,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0553/2022,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/6765/2024,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/4267/2024,GUJ-RAJ-10,LONG_PENDING,📛 Case pending for 7.8 years [NDPS].,HIGH
CASE/4267/2024,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0705/2017,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/1046/2016,GUJ-RAJ-10,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/5767/2022,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/1141/2015,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 6.6 years [POCSO].,HIGH
CASE/1141/2015,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/8903/2020,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 9.2 years [Commercial].,HIGH
CASE/8903/2020,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/2112/2020,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 6.1 years [Senior_Citizen].,HIGH
CASE/2112/2020,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6369/2024,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 7.1 years [Commercial].,HIGH
CASE/6369/2024,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/4456/2018,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 9.2 years [Matrimonial].,HIGH
CASE/4456/2018,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/9245/2016,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 9.0 years [Motor_Accident].,HIGH
CASE/9245/2016,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/3650/2021,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/8941/2016,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 8.7 years [NDPS].,HIGH
CASE/8941/2016,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/8876/2015,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/2552/2021,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 7.6 years [Matrimonial].,HIGH
CASE/2552/2021,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/2863/2020,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/1987/2021,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 5.2 years [Matrimonial].,HIGH
CASE/1987/2021,GUJ-RAJ-11,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/8574/2017,GUJ-RAJ-11,LONG_PENDING,📛 Case pending for 5.2 years [Property_Dispute].,HIGH
CASE/4002/2018,GUJ-RAJ-12,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 79.1,CRITICAL
CASE/4002/2018,GUJ-RAJ-12,LONG_PENDING,📛 Case pending for 7.4 years [POCSO].,HIGH
CASE/4002/2018,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/8731/2022,GUJ-RAJ-12,LONG_PENDING,📛 Case pending for 9.1 years [SC_ST].,HIGH
CASE/8731/2022,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/8401/2023,GUJ-RAJ-12,LONG_PENDING,📛 Case pending for 7.4 years [Senior_Citizen].,HIGH
CASE/8401/2023,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4669/2020,GUJ-RAJ-12,LONG_PENDING,📛 Case pending for 9.4 years [General_Criminal].,HIGH
CASE/4669/2020,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/7351/2016,GUJ-RAJ-12,LONG_PENDING,📛 Case pending for 9.4 years [General_Criminal].,HIGH
CASE/7351/2016,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/6118/2022,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/7726/2020,GUJ-RAJ-12,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/0822/2022,GUJ-RAJ-13,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 77.9,CRITICAL
CASE/0822/2022,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 8.1 years [Senior_Citizen].,HIGH
CASE/0822/2022,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/0014/2017,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 7.8 years [Senior_Citizen].,HIGH
CASE/0014/2017,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6587/2019,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 9.9 years [Matrimonial].,HIGH
CASE/6587/2019,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/2149/2018,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 9.4 years [General_Civil].,HIGH
CASE/2149/2018,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/0447/2021,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 8.3 years [General_Criminal].,HIGH
CASE/0447/2021,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/2978/2016,GUJ-RAJ-13,LONG_PENDING,📛 Case pending for 7.3 years [NDPS].,HIGH
CASE/2978/2016,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/1188/2018,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/4832/2022,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/8996/2018,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/0195/2022,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/9509/2023,GUJ-RAJ-13,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
